,Gene Name1,Gene Name2,Gene Name3,Gene Name4,Gene Name5,fisher_log2fc,fisher_pval_adj
chr1_3245070_3247104,Xkr4,,,,,0.402609408,0.49825415
chr1_3296871_3300418,Xkr4,Rp1,,,,-0.706347644,0.21608845
chr1_3309788_3310809,Xkr4,Rp1,,,,-0.256179035,0.85485174
chr1_3319892_3324705,Xkr4,Rp1,,,,-0.047030948,0.99467284
chr1_3365567_3372481,Xkr4,Rp1,Rp1,,,0.332711458,0.43887997
chr1_3375994_3383205,Xkr4,Rp1,Rp1,,,0.198442638,0.75692607
chr1_3384790_3392284,Xkr4,Rp1,Rp1,,,-0.132996395,0.85527916
chr1_3393924_3401698,Xkr4,Rp1,Rp1,,,0.014828409,1
chr1_3404499_3406124,Xkr4,Rp1,Rp1,,,-0.519592524,0.54075383
chr1_3456090_3459474,Xkr4,Rp1,Rp1,,,-0.228191793,0.76148041
chr1_3549687_3553688,Xkr4,Rp1,Rp1,Sox17,,0.174872518,0.86025427
chr1_3645246_3651767,Xkr4,Rp1,Rp1,Sox17,,0.227370039,0.70604289
chr1_3658977_3663634,Xkr4,Rp1,Rp1,Sox17,,-0.08152961,0.96525507
chr1_3665621_3667941,Xkr4,Rp1,Rp1,Sox17,,0.130844057,0.89047676
chr1_3672013_3672658,Xkr4,Rp1,Rp1,Sox17,,0.48151651,0.62040083
chr1_4784900_4786669,Mrpl15,Lypla1,Tcea1,Tcea1,Rgs20,0.046838414,1
chr1_4805556_4809048,Lypla1,Mrpl15,Tcea1,Tcea1,Rgs20,0.15531978,0.72998095
chr1_4856928_4860662,Tcea1,Lypla1,Rgs20,Mrpl15,Atp6v1h,0.067604221,0.96772107
chr1_5071262_5071875,Rgs20,Atp6v1h,Rgs20,Rgs20,Tcea1,0.658468306,0.63530568
chr1_5082653_5083213,Atp6v1h,Rgs20,Rgs20,Rgs20,Tcea1,-0.236995265,0.9074752
chr1_5176422_5178559,Atp6v1h,Rgs20,Rgs20,Rgs20,Tcea1,0.14949441,0.9074752
chr1_5914083_5915764,Npbwr1,Rb1cc1,Oprk1,Alkal1,St18,0.275809944,0.86018857
chr1_6212453_6214083,Rb1cc1,Alkal1,St18,Npbwr1,St18,-1.35488236,0.2027949
chr1_6730562_6739058,St18,Alkal1,Pcmtd1,Rb1cc1,Npbwr1,0.763698578,0.01924232
chr1_7086094_7092312,Pcmtd1,St18,Alkal1,Rb1cc1,,0.304205626,0.37819863
chr1_7103547_7105108,Pcmtd1,St18,Alkal1,Rb1cc1,,0.684078455,0.50166416
chr1_7115121_7116984,Pcmtd1,St18,Alkal1,Rb1cc1,,-0.211486161,0.88564452
chr1_7396629_7399592,Pcmtd1,St18,Sntg1,,,-0.111580588,0.93837887
chr1_8779349_8781511,Sntg1,Rrs1,Adhfe1,Mybl1,Vcpip1,0.099860154,0.96666953
chr1_8943682_8951404,Sntg1,Rrs1,Adhfe1,Mybl1,Vcpip1,-0.119934395,0.87881291
chr1_9037212_9039124,Sntg1,Rrs1,Adhfe1,Mybl1,Vcpip1,-0.079932787,0.97303554
chr1_9168728_9173211,Sntg1,Rrs1,Adhfe1,Mybl1,Vcpip1,-0.333797663,0.47668911
chr1_9286238_9301521,Sntg1,Rrs1,Adhfe1,Mybl1,Vcpip1,0.052634548,0.86061491
chr1_9546469_9550050,Rrs1,Mybl1,Vcpip1,Sntg1,Sgk3,0.630418897,0.38640954
chr1_9576605_9578509,Adhfe1,Rrs1,Mybl1,Vcpip1,Sgk3,-0.209366038,0.85375755
chr1_9600250_9603700,Adhfe1,Rrs1,Mybl1,Vcpip1,Sgk3,-0.050659679,0.97731866
chr1_9624980_9630002,Mybl1,Adhfe1,Rrs1,Vcpip1,Sgk3,-0.193862438,0.80276616
chr1_9788290_9792374,Sgk3,Vcpip1,Sgk3,Mybl1,Mcmdc2,-0.2409776,0.74200713
chr1_9795533_9799842,Sgk3,Vcpip1,Sgk3,Mybl1,Mcmdc2,-0.255909175,0.42456863
chr1_9846996_9851571,Sgk3,Mcmdc2,Snhg6,Snord87,Vcpip1,-0.172606513,0.88802798
chr1_9941797_9946035,Snhg6,Mcmdc2,Tcf24,Ppp1r42,Sgk3,0.056397259,0.9631272
chr1_9992039_9994097,Ppp1r42,Tcf24,Cops5,Cspp1,Snhg6,-0.330131263,0.62040083
chr1_10010476_10015032,Ppp1r42,Cops5,Cspp1,Tcf24,Snhg6,0.08627782,0.96615818
chr1_10017838_10020528,Cops5,Ppp1r42,Cspp1,Tcf24,Snhg6,0.619124949,0.47904307
chr1_10233361_10234309,Arfgef1,Cpa6,Cspp1,Cops5,Ppp1r42,-0.131232068,0.90100859
chr1_10698842_10700598,Cpa6,Mir467e,Prex2,Arfgef1,Cspp1,1.04120338,0.31957904
chr1_10993048_10994642,Prex2,Mir467e,Prex2,Cpa6,Arfgef1,0.144266769,0.95634381
chr1_11382460_11386157,Prex2,Mir467e,Cpa6,,,-0.918765783,0.20429339
chr1_11413039_11420033,Prex2,Mir467e,Cpa6,,,0.08434128,0.92265616
chr1_11441816_11448213,Prex2,Mir467e,Cpa6,Mir6341,,0.205411598,0.78314406
chr1_11462344_11468247,Prex2,Mir467e,Cpa6,Mir6341,,0.309630811,0.7097228
chr1_12688755_12695132,Sulf1,Sulf1,Slco5a1,Mir6341,Prdm14,0.327413261,0.40525021
chr1_13193770_13198085,Ncoa2,Prdm14,Slco5a1,Sulf1,Tram1,0.404723078,0.68747441
chr1_13217643_13218827,Ncoa2,Prdm14,Slco5a1,Tram1,Sulf1,-0.712706149,0.57217221
chr1_14299434_14311028,Eya1,Msc,Trpa1,Xkr9,Lactb2,0.381639838,0.49546281
chr1_15286997_15292267,Kcnb2,Trpa1,Terf1,Msc,Sbspon,0.342528045,0.26988219
chr1_15326236_15328346,Kcnb2,Trpa1,Terf1,Sbspon,Msc,-0.50322789,0.65776975
chr1_15333358_15334832,Kcnb2,Trpa1,Terf1,Sbspon,Msc,-0.782216191,0.38632874
chr1_15423016_15423908,Kcnb2,Terf1,Sbspon,Trpa1,Msc,0.304734826,0.83617779
chr1_15481476_15485491,Kcnb2,Terf1,Sbspon,Trpa1,Rpl7,-0.549094498,0.45586623
chr1_15568575_15570893,Kcnb2,Terf1,Sbspon,Rpl7,Rdh10,0.231449425,0.86460593
chr1_15648684_15655699,Kcnb2,Terf1,Sbspon,Rpl7,Rdh10,-0.530206203,0.4770899
chr1_15656683_15658670,Kcnb2,Terf1,Sbspon,Rpl7,Rdh10,-0.402623355,0.72203597
chr1_15681118_15684827,Kcnb2,Terf1,Sbspon,Rpl7,Rdh10,-0.321416199,0.69870701
chr1_15804959_15805875,Terf1,Sbspon,Kcnb2,Rpl7,Rdh10,-0.051523149,1
chr1_15899612_15900579,Sbspon,Terf1,Kcnb2,Rpl7,Rdh10,0.233651131,0.86048568
chr1_16254312_16262847,Stau2,Stau2,Rdh10,Rpl7,Ube2w,0.038947448,0.99352209
chr1_16292616_16295038,Stau2,Stau2,Rdh10,Rpl7,Ube2w,-0.389699191,0.42368805
chr1_16438994_16440665,Stau2,Ube2w,Ube2w,Eloc,Eloc,0.643274605,0.52477348
chr1_16619583_16620416,Ube2w,Eloc,Eloc,Tmem70,Ly96,-0.018519295,1
chr1_16633006_16638534,Eloc,Eloc,Ube2w,Tmem70,Ly96,-0.326463491,0.66573682
chr1_16656064_16657851,Eloc,Tmem70,Ly96,Ube2w,Stau2,-0.119568601,0.91339748
chr1_16662953_16665281,Tmem70,Eloc,Eloc,Ly96,Ube2w,0.096867129,0.95902159
chr1_16687999_16688703,Ly96,Tmem70,Eloc,Eloc,Ube2w,-0.247086525,0.81583981
chr1_17042453_17043630,Jph1,Gdap1,Ly96,Tmem70,Eloc,-0.299910426,0.79816255
chr1_17120286_17123758,Gdap1,Jph1,Ly96,Tmem70,Eloc,0.000800529,1
chr1_17162473_17166104,Gdap1,Jph1,Pi15,Ly96,Tmem70,0.15332751,0.85485174
chr1_18306798_18310943,Defb41,Defb18,Defb44-ps,Crisp4,Crisp4,0.026229108,1
chr1_18359262_18361635,Defb41,Defb18,Defb44-ps,Crisp4,Crisp4,0.57521975,0.3274873
chr1_18698045_18698808,Tfap2d,Defb41,Defb18,Defb44-ps,Tfap2b,-0.457418203,0.64669195
chr1_18971914_18981320,Tfap2d,Tfap2b,Tfap2b,Defb41,Defb18,0.380433321,0.00138233
chr1_19101054_19112786,Tfap2d,Tfap2b,Tfap2b,Defb41,Defb18,0.26218003,0.51063487
chr1_20889042_20895798,Paqr8,Efhc1,Mcm3,Il17f,Tram2,0.196375653,0.83375613
chr1_20937559_20942299,Paqr8,Efhc1,Tram2,Mcm3,Il17f,-0.012574375,1
chr1_21079527_21080459,Tram2,Efhc1,Tmem14a,Paqr8,Gsta3,-0.19646056,0.8822294
chr1_21228444_21233518,Tmem14a,Gsta3,Khdc1a,Khdc1c,Tram2,-0.026633875,1
chr1_21679916_21691489,Kcnq5,Khdc1b,Khdc1c,Khdc1a,Gsta3,0.227357551,0.47102614
chr1_21747519_21751900,Kcnq5,Khdc1b,Khdc1c,Khdc1a,Gsta3,-0.371742934,0.49138832
chr1_21771441_21775112,Kcnq5,Khdc1b,Khdc1c,Khdc1a,Gsta3,-0.154786304,0.84921575
chr1_21800160_21805285,Kcnq5,Khdc1b,Khdc1c,Khdc1a,Rims1,-0.036248315,0.97287811
chr1_21811106_21814830,Kcnq5,Khdc1b,Khdc1c,Khdc1a,Rims1,0.221735492,0.79816255
chr1_21825346_21832512,Kcnq5,Khdc1b,Khdc1c,Rims1,Khdc1a,0.127240106,0.86211844
chr1_21849410_21853462,Kcnq5,Rims1,Khdc1b,Khdc1c,Khdc1a,-0.131602898,0.86133286
chr1_21856065_21858660,Kcnq5,Rims1,Khdc1b,Khdc1c,Khdc1a,0.093989387,0.94862785
chr1_21862424_21869520,Kcnq5,Rims1,Khdc1b,Khdc1c,Khdc1a,0.092223711,0.94722845
chr1_21939387_21942065,Kcnq5,Rims1,Rims1,Khdc1b,Khdc1c,-0.048423667,0.99695377
chr1_21957685_21964077,Kcnq5,Rims1,Rims1,Khdc1b,Khdc1c,-0.332616091,0.55306224
chr1_22260019_22270315,Rims1,Rims1,Kcnq5,Kcnq5,Khdc1b,-0.276785493,0.37368314
chr1_22530601_22534689,Rims1,Rims1,Kcnq5,Kcnq5,Mir30a,0.009155449,1
chr1_22614126_22616715,Rims1,Rims1,Kcnq5,Kcnq5,Mir30a,-0.165199339,0.85351673
chr1_22624540_22628976,Rims1,Rims1,Mir30a,Kcnq5,Kcnq5,-0.031221164,0.9999275
chr1_22648134_22659867,Rims1,Rims1,Mir30a,Mir30c-2,Kcnq5,-0.057815291,0.92777328
chr1_22660915_22665997,Rims1,Rims1,Mir30a,Mir30c-2,Kcnq5,-0.445675701,0.36816757
chr1_22692547_22697313,Rims1,Rims1,Mir30a,Mir30c-2,Ogfrl1,-0.061762411,0.97654154
